offering_id,name,hotel_class,region_id,type,region,locality
113317,Casablanca Hotel Times Square,4.0,60763,hotel,NY,New York City
76049,Four Seasons Hotel Los Angeles at Beverly Hills,5.0,32655,hotel,CA,Los Angeles
99352,Hilton Garden Inn Times Square,3.5,60763,hotel,NY,New York City
93589,The Michelangelo Hotel,4.0,60763,hotel,NY,New York City
217616,The Muse Hotel New York,4.0,60763,hotel,NY,New York City
208454,Sofitel New York,4.5,60763,hotel,NY,New York City
2643161,The NoMad Hotel,,60763,hotel,NY,New York City
1465162,Staybridge Suites Times Square - New York City,3.5,60763,hotel,NY,New York City
93559,The Sherry-Netherland Hotel,4.5,60763,hotel,NY,New York City
80112,San Carlos Hotel,4.0,60763,hotel,NY,New York City
93396,The Iroquois,4.0,60763,hotel,NY,New York City
1456560,Eventi - a Kimpton Hotel,4.0,60763,hotel,NY,New York City
1641016,The Chatwal,5.0,60763,hotel,NY,New York City
1776857,"The Setai Fifth Avenue, a Capella managed Hotel",5.0,60763,hotel,NY,New York City
1762573,Andaz 5th Avenue,4.0,60763,hotel,NY,New York City
93338,Hotel Beacon,3.0,60763,hotel,NY,New York City
224224,"The Ritz-Carlton New York, Central Park",5.0,60763,hotel,NY,New York City
1866401,Holiday Inn Hotel-Houston Westchase,3.0,56003,hotel,TX,Houston
99060,Omni Houston Hotel,4.5,56003,hotel,TX,Houston
99081,Crowne Plaza Houston - Brookhollow,3.5,56003,hotel,TX,Houston
107915,Drury Inn & Suites Houston Near The Galleria,3.0,56003,hotel,TX,Houston
1966350,The Westin Houston Memorial City,4.0,56003,hotel,TX,Houston
108038,Hilton University of Houston,3.5,56003,hotel,TX,Houston
1200103,Hotel Sorella CITYCENTRE,4.0,56003,hotel,TX,Houston
283873,"Hotel Icon, Autograph Collection",4.0,56003,hotel,TX,Houston
98952,Four Seasons Hotel Houston,5.0,56003,hotel,TX,Houston
107956,Extended Stay America - Houston - Northwest,2.5,56003,hotel,TX,Houston
1158926,Hilton Garden Inn Houston Energy Corridor,3.0,56003,hotel,TX,Houston
282699,Hilton Americas - Houston,4.0,56003,hotel,TX,Houston
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,3.5,56003,hotel,TX,Houston
665163,Courtyard by Marriott Houston by the Galleria,3.0,56003,hotel,TX,Houston
111618,Renaissance Houston Hotel Greenway Plaza,4.0,56003,hotel,TX,Houston
99114,Westin Galleria Houston Hotel,4.0,56003,hotel,TX,Houston
107924,Courtyard by Marriott Houston Westchase,3.0,56003,hotel,TX,Houston
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,2.5,56003,hotel,TX,Houston
223137,La Quinta Inn Houston Northwest,2.5,56003,hotel,TX,Houston
258636,Alden-Houston,4.0,56003,hotel,TX,Houston
98920,Houston Marriott Westchase,3.5,56003,hotel,TX,Houston
1236706,Super 8 Houston Hobby Airport South,2.0,56003,hotel,TX,Houston
108057,Residence Inn Houston Clear Lake,3.0,56003,hotel,TX,Houston
240436,Carefree Inn Medical Center,2.0,56003,hotel,TX,Houston
266158,Super 8 Houston/Hobby Airport/I-45,2.0,56003,hotel,TX,Houston
559491,Holiday Inn Express Houston East,2.5,56003,hotel,TX,Houston
99106,La Quinta Inn Houston Medical / Reliant Center,2.0,56003,hotel,TX,Houston
242394,Royal Sonesta Hotel Houston,4.0,56003,hotel,TX,Houston
108148,Holiday Inn Houston Intercontinental Airport,3.0,56003,hotel,TX,Houston
99067,"Four Points by Sheraton Houston, Memorial City",3.0,56003,hotel,TX,Houston
585164,Residence Inn Houston West/Energy Corridor,,56003,hotel,TX,Houston
98987,Marriott Houston Airport at George Bush Intercontinental,3.5,56003,hotel,TX,Houston
107863,Extended Stay America - Houston - Westchase - Westheimer,2.0,56003,hotel,TX,Houston
108054,TownePlace Suites Houston Clear Lake,2.0,56003,hotel,TX,Houston
1773009,Holiday Inn Express Hotel & Suites Houston NW-Beltway 8-West Road,2.5,56003,hotel,TX,Houston
107834,Hyatt Place Houston/Greenspoint/IAH Airport,3.0,56003,hotel,TX,Houston
223154,Hampton Inn Houston - Near The Galleria,2.5,56003,hotel,TX,Houston
223164,Homewood Suites by Hilton Houston - Clear Lake,3.0,56003,hotel,TX,Houston
108149,Drury Inn & Suites Houston Hobby,2.5,56003,hotel,TX,Houston
142023,Ramada Houston Intercontinental Airport South,3.0,56003,hotel,TX,Houston
223148,Baymont Inn & Suites Houston,2.5,56003,hotel,TX,Houston
99132,Hilton Houston Westchase,3.5,56003,hotel,TX,Houston
108020,BEST WESTERN Heritage Inn,2.5,56003,hotel,TX,Houston
108150,Courtyard by Marriott Houston Hobby Airport,3.0,56003,hotel,TX,Houston
223160,Days Inn And Suites Houston IAH Airport,2.5,56003,hotel,TX,Houston
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,2.5,56003,hotel,TX,Houston
99101,Sheraton North Houston at George Bush Intercontinental,3.5,56003,hotel,TX,Houston
596014,Staybridge Suites Houston West / Energy Corridor,3.0,56003,hotel,TX,Houston
256700,Sun Suites of Hobby / Clearlake,2.0,56003,hotel,TX,Houston
256702,Sun Suites Of Westchase,2.0,56003,hotel,TX,Houston
